Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
1363,713,umkommen,komme um,,kommst um,,kommt um,kam um,,umgekommen,,käme um,,komm um,komme um,,kommt um,,sein,,,,,,
1364,713,trommeln,trommele,,trommelst,,trommelt,trommelte,,getrommelt,,trommelte,,trommel,trommele,,trommelt,,haben,,,,,,
1365,712,lähmen,lähme,,lähmst,,lähmt,lähmte,,gelähmt,,lähmte,,lähme,,,lähmt,,haben,,,,,,
1366,711,erschüttern,erschüttere,,erschütterst,,erschüttert,erschütterte,,erschüttert,,erschütterte,,erschüttere,,,erschüttert,,haben,,,,,,
1367,709,glänzen,glänze,,glänzt,,glänzt,glänzte,,geglänzt,,glänzte,,glänze,glänz,,glänzt,,haben,,,,,,
1368,709,streben,strebe,,strebst,,strebt,strebte,,gestrebt,,strebte,,strebe,,,strebt,,haben,,,,,,
1369,708,abhören,höre ab,,hörst ab,,hört ab,hörte ab,,abgehört,,hörte ab,,hör ab,höre ab,,hört ab,,haben,,,,,,
1370,706,blamieren,blamiere,,blamierst,,blamiert,blamierte,,blamiert,,blamierte,,blamier,blamiere,,blamiert,,haben,,,,,,
1371,704,lauern,lauere,,lauerst,,lauert,lauerte,,gelauert,,lauerte,,lauere,,,lauert,,haben,,,,,,
1372,704,wildern,wildere,,wilderst,,wildert,wilderte,,gewildert,,wilderte,,wildere,,,wildert,,haben,,,,,,
1373,704,zurückzahlen,zahle zurück,,zahlst zurück,,zahlt zurück,zahlte zurück,,zurückgezahlt,,zahlt zurück,,zahl zurück,zahle zurück,,zahlt zurück,,haben,,,,,,
1374,703,erfolgen,—,,—,,erfolgt,erfolgte,,erfolgt,,erfolgte,,—,,,—,,sein,,,,,,
1375,702,profitieren,profitiere,,profitierst,,profitiert,profitierte,,profitiert,,profitierte,,profitiere,profitier,,profitiert,,haben,,,,,,
1376,702,staunen,staune,,staunst,,staunt,staunte,,gestaunt,,staunte,,staun,staune,,staunt,,haben,,,,,,
1377,700,grinsen,grinse,,grinst,,grinst,grinste,,gegrinst,,grinste,,grinse,,,grinst,,haben,,,,,,
1378,700,lokalisieren,lokalisiere,,lokalisierst,,lokalisiert,lokalisierte,,lokalisiert,,lokalisierte,,lokalisiere,lokalisier,,lokalisiert,,haben,,,,,,
1379,697,verscheiden,verscheide,,verscheidest,,verscheidet,verschied,,verschieden,,verschiede,,verscheide,,,verscheidet,,sein,,,,,,
1380,697,vornehmen,nehme vor,,nimmst vor,,nimmt vor,nahm vor,,vorgenommen,,nähme vor,,nimm vor,,,nehmt vor,,haben,,,,,,
1381,697,hinreißen,reiße hin,,reißt hin,,reißt hin,riss hin,,hingerissen,,risse hin,,reiß hin,reiße hin,,reißt hin,,haben,,,,,,
1382,697,anspannen,spanne an,,spannst an,,spannt an,spannte an,,angespannt,,spannte an,,spann an,spanne an,,spannt an,,haben,,,,,,
1383,696,lagern,lagere,,lagerst,,lagert,lagerte,,gelagert,,lagerte,,lagere,lager,,lagert,,haben,,,,,,
1384,695,ausüben,übe aus,,übst aus,,übt aus,übte aus,,ausgeübt,,übte aus,,übe aus,,,übt aus,,haben,,,,,,
1385,693,enthüllen,enthülle,,enthüllst,,enthüllt,enthüllte,,enthüllt,,enthüllte,,enthülle,enthüll,,enthüllt,,haben,,,,,,
1386,692,ersticken,ersticke,,erstickst,,erstickt,erstickte,,erstickt,,erstickte,,ersticke,,,erstickt,,sein,haben,,,,,
1387,690,vergießen,vergieße,,vergießt,,vergießt,vergoss,,vergossen,,vergösse,,vergieße,,,vergießt,vergießet,haben,,,,,,
1388,689,andeuten,deute an,,deutest an,,deutet an,deutete an,,angedeutet,,deutete an,,deute an,,,deutet an,,haben,,,,,,
1389,685,ausgraben,grabe aus,,gräbst aus,,gräbt aus,grub aus,,ausgegraben,,grübe aus,,grab aus,grabe aus,,grabt aus,,haben,,,,,,
1390,685,wiederfinden,finde wieder,,findest wieder,,findet wieder,fand wieder,,wiedergefunden,,fände wieder,,finde wieder,,,findet wieder,,haben,,,,,,
1391,683,überdenken,überdenke,,überdenkst,,überdenkt,überdachte,,überdacht,,überdächte,,überdenke,,,überdenkt,,haben,,,,,,
1392,682,speisen,speise,,speist,,speist,speiste,,gespeist,gespiesen,speiste,,speise,,,speiset,,haben,,,,,,
1393,682,freigeben,gebe frei,,gibst frei,,gibt frei,gab frei,,freigegeben,,gäbe frei,,gib frei,,,gebt frei,,haben,,,,,,
1394,681,winken,winke,,winkst,,winkt,winkte,,gewinkt,gewunken,winkte,,winke,,,winkt,,haben,,Driver hand waving.jpg|thumb|1|jemand ''winkt'' aus dem Auto,,,,
1395,680,beschränken,beschränke,,beschränkst,,beschränkt,beschränkte,,beschränkt,,beschränkte,,beschränk,beschränke,,beschränkt,,haben,,,,,,
1396,680,begleichen,begleiche,,begleichst,,begleicht,beglich,,beglichen,,begliche,,begleiche,,,begleicht,,haben,,,,,,
1397,679,erpressen,erpresse,,erpresst,,erpresst,erpresste,,erpresst,,erpresste,,erpress,erpresse,,erpresst,,haben,,,,,,
1398,679,wiedererkennen,erkenne wieder,,erkennst wieder,,erkennt wieder,erkannte wieder,,wiedererkannt,,erkennte wieder,,erkenn wieder,erkenne wieder,,erkennt wieder,,haben,,,,,,
1399,678,ausweichen,weiche aus,,weichst aus,,weicht aus,wich aus,,ausgewichen,,wiche aus,,weiche aus,,,weicht aus,,sein,,,,,,
1400,678,verschlucken,verschlucke,,verschluckst,,verschluckt,verschluckte,,verschluckt,,verschluckte,,verschluck,verschlucke,,verschluckt,,haben,,,,,,
1401,678,vertuschen,vertusche,,vertuschst,,vertuscht,vertuschte,,vertuscht,,vertuschte,,vertusch,vertusche,,vertuscht,,haben,,,,,,
1402,677,verpfeifen,verpfeife,,verpfeifst,,verpfeift,verpfiff,,verpfiffen,,verpfiffe,,verpfeif,verpfeife,,verpfeift,,haben,,,,,,
1403,676,zunehmen,nehme zu,,nimmst zu,,nimmt zu,nahm zu,,zugenommen,,nähme zu,,nimm zu,,,nehmt zu,,haben,,,"Population growth-SLO.svg|thumb|1|Die [[Bevölkerung]] hat als Resultat von [[Geburt]]en, [[Tod]]en und [[Migration]]en in [[Slowenien]] zwischen 1997 und 2008 ''zugenommen.''","Buclin.jpg|thumb|3|Er hat [[zuviel]] ''zugenommen,'' er sollte seiner [[Gesundheit]] [[zuliebe]] wieder [[abnehmen]].",,
1404,674,rahmen,rahme,,rahmst,,rahmt,rahmte,,gerahmt,,rahmte,,rahm,rahme,,rahmt,,haben,,,,,,
1405,673,hausen,hause,,haust,,haust,hauste,,gehaust,,hauste,,hause,,,haust,,haben,,,,,,
1406,672,speichern,speichere,,speicherst,,speichert,speicherte,,gespeichert,,speicherte,,speichere,,,speichert,,haben,,,,,,
1407,672,umstellen,umstelle,,umstellst,,umstellt,umstellte,,umstellt,,umstellte,,umstelle,umstell,,umstellt,,haben,,,,,,
1408,672,erkälten,erkälte,,erkältest,,erkältet,erkältete,,erkältet,,erkältete,,erkälte,,,erkältet,,haben,,,,,,
1409,671,realisieren,realisiere,,realisierst,,realisiert,realisierte,,realisiert,,realisierte,,realisiere,realisier,,realisiert,,haben,,,,,,
1410,670,erwidern,erwidere,,erwiderst,,erwidert,erwiderte,,erwidert,,erwiderte,,erwidere,,,erwidert,,haben,,,,,,
1411,669,abgehen,gehe ab,,gehst ab,,geht ab,ging ab,,abgegangen,,ginge ab,,geh ab,,,geht ab,,sein,,Tapete_löst_sich.jpg|230px|2|Die Tapete ''geht'' von der Wand ''ab''.,,,,
1412,669,nachgeben,gebe nach,,gibst nach,,gibt nach,gab nach,,nachgegeben,,gäbe nach,,gib nach,,,gebt nach,,haben,,,,,,
1413,668,wurzeln,wurzele,,wurzelst,,wurzelt,wurzelte,,gewurzelt,,wurzelte,,wurzel,wurzle,,wurzelt,,haben,,,,,,
1414,667,einsehen,sehe ein,,siehst ein,,sieht ein,sah ein,,eingesehen,,sähe ein,,sieh ein,,,seht ein,,haben,,,,,,
1415,667,versäumen,versäume,,versäumst,,versäumt,versäumte,,versäumt,,versäumte,,versäume,,,versäumt,,haben,,,,,,
1416,664,aufladen,lade auf,,lädst auf,,lädt auf,lud auf,,aufgeladen,,lüde auf,,lade auf,,,ladet auf,,haben,,,,,,
1417,664,murmeln,murmle,murmel,murmelst,,murmelt,murmelte,,gemurmelt,,murmelte,,murmle,murmel,,murmelt,,haben,,,,,,
1418,663,schuften,schufte,,schuftest,,schuftet,schuftete,,geschuftet,,schuftete,,schufte,schuft,,schuftet,,haben,,,,,,
1419,663,fernhalten,halte fern,,hältst fern,,hält fern,hielt fern,,ferngehalten,,hielte fern,,halt fern,halte fern,,haltet fern,,haben,,,,,,
1420,662,lutschen,lutsche,,lutschst,lutscht,lutscht,lutschte,,gelutscht,,lutschte,,lutsch,lutsche,,lutscht,,haben,,,,,,
1421,659,bereden,berede,,beredest,,beredet,beredete,,beredet,,beredete,,bered,berede,,beredet,,haben,,,,,,
1422,657,vorsehen,sehe vor,,siehst vor,,sieht vor,sah vor,,vorgesehen,,sähe vor,,sieh vor,,,seht vor,,haben,,,,,,
1423,657,aufzeichnen,zeichne auf,,zeichnest auf,,zeichnet auf,zeichnete auf,,aufgezeichnet,,zeichnete auf,,zeichne auf,,,zeichnet auf,,haben,,,,,,
1424,656,summen,summe,,summst,,summt,summte,,gesummt,,summte,,summe,,,summt,,haben,,,,,,
1425,656,borgen,borge,,borgst,,borgt,borgte,,geborgt,,borgte,,borge,borg,,borgt,borget,haben,,,,,,
1426,656,heimkommen,komme heim,,kommst heim,,kommt heim,kam heim,,heimgekommen,,käme heim,,komm heim,komme heim,,kommt heim,,sein,,,,,,
1427,655,dastehen,stehe da,,stehst da,,steht da,stand da,,dagestanden,,stünde da,,steh da,,,steht da,,haben,sein,,,,,
1428,653,peitschen,peitsche,,peitschst,peitscht,peitscht,peitschte,,gepeitscht,,peitschte,,peitsch,peitsche,,peitscht,,haben,,,,,,
1429,652,involvieren,involviere,,involvierst,,involviert,involvierte,,involviert,,involvierte,,involvier,involviere,,involviert,,haben,,,,,,
1430,651,würgen,würge,,würgst,,würgt,würgte,,gewürgt,,würgte,,würge,,,würgt,,haben,,,,,,
1431,649,verschreiben,verschreibe,,verschreibst,,verschreibt,verschrieb,,verschrieben,,verschriebe,,verschreibe,verschreib,,verschreibt,,haben,,,,,,
1432,649,loslegen,lege los,,legst los,,legt los,legte los,,losgelegt,,legte los,,leg los,lege los,,legt los,,haben,,,,,,
1433,647,überweisen,überweise,,überweist,,überweist,überwies,,überwiesen,,überwiese,,überweise,überweis,,überweist,,haben,,,,,,
1434,647,aufführen,führe auf,,führst auf,,führt auf,führte auf,,aufgeführt,,führte auf,,führ auf,führe auf,,führt auf,,haben,,,,,,
1435,646,herhören,höre her,,hörst her,,hört her,hörte her,,hergehört,,hörte her,,hör her,höre her,,hört her,,haben,,,,,,
1436,645,beistehen,stehe bei,,stehst bei,,steht bei,stand bei,,beigestanden,,stände bei,stünde bei,steh bei,stehe bei,,steht bei,,haben,,,,,,
1437,643,einbauen,baue ein,,baust ein,,baut ein,baute ein,,eingebaut,,baute ein,,bau ein,baue ein,,baut ein,,haben,,,,,,
1438,643,piepsen,piepse,,piepst,,piepst,piepste,,gepiepst,,piepste,,piepse,,,piepst,,haben,,,,,,
1439,643,bestehlen,bestehle,,bestiehlst,,bestiehlt,bestahl,,bestohlen,,bestähle,bestöhle,bestiehl,bestehle,,bestehlt,,haben,,,,,,
1440,641,zerquetschen,zerquetsche,,zerquetschst,zerquetscht,zerquetscht,zerquetschte,,zerquetscht,,zerquetschte,,zerquetsch,zerquetsche,,zerquetscht,,haben,,,,,,
1441,639,schnallen,schnalle,,schnallst,,schnallt,schnallte,,geschnallt,,schnallte,,schnall,schnalle,,schnallt,,haben,,,,,,
1442,638,mitgehen,gehe mit,,gehst mit,,geht mit,ging mit,,mitgegangen,,ginge mit,,geh mit,gehe mit,,geht mit,,sein,,,,,,
1443,637,einstecken,stecke ein,,steckst ein,,steckt ein,steckte ein,,eingesteckt,,steckte ein,,steck ein,stecke ein,,steckt ein,,haben,,Afghan man at the ballot box during Loya jirga.jpg|210px|1|ein Wahlzettel wird in die Wahlurne ''eingesteckt'',,,,
1444,636,vormachen,mache vor,,machst vor,,macht vor,machte vor,,vorgemacht,,machte vor,,mach vor,mache vor,,macht vor,,haben,,,,,,
1445,635,erkundigen,erkundige,,erkundigst,,erkundigt,erkundigte,,erkundigt,,erkundigte,,erkundige,,,erkundigt,,haben,,,,,,
1446,635,zurückbleiben,bleibe zurück,,bleibst zurück,,bleibt zurück,blieb zurück,,zurückgeblieben,,bliebe zurück,,bleib zurück,bleibe zurück,,bleibt zurück,,sein,,,,,,
1447,632,fördern,fördere,,förderst,,fördert,förderte,,gefördert,,förderte,,fördere,,,fördert,,haben,,,,,,
1448,631,berauben,beraube,,beraubst,,beraubt,beraubte,,beraubt,,beraubte,,beraub,beraube,,beraubt,,haben,,,,,,
1449,631,aufschlitzen,schlitze auf,,schlitzt auf,,schlitzt auf,schlitzte auf,,aufgeschlitzt,,schlitzte auf,,schlitz auf,schlitze auf,,schlitzt auf,,haben,,,,,,
1450,629,repräsentieren,repräsentiere,,repräsentierst,,repräsentiert,repräsentierte,,repräsentiert,,repräsentierte,,repräsentiere,repräsentier,,repräsentiert,,haben,,,,,,
1451,627,erfassen,erfasse,,erfasst,,erfasst,erfasste,,erfasst,,erfasste,,erfasse,erfass,,erfasst,,haben,,,,,,
1452,626,verblüffen,verblüffe,,verblüffst,,verblüfft,verblüffte,,verblüfft,,verblüffte,,verblüffe,,,verblüfft,,haben,,,,,,
1453,626,beängstigen,beängstige,,beängstigst,,beängstigt,beängstigte,,beängstigt,,beängstigte,,beängstig,beängstige,,beängstigt,,haben,,,,,,
1454,623,plündern,plündere,,plünderst,,plündert,plünderte,,geplündert,,plünderte,,plündre,plündere,,plündert,,haben,,,,,,
1455,623,hüpfen,hüpfe,,hüpfst,,hüpft,hüpfte,,gehüpft,,hüpfte,,hüpfe,,,hüpft,,sein,,Impala leaping from water.jpg|mini|1|ein Impala ''hüpft'' durch das flache Wasser,,"Poweriser, Brněnské běhy 2010.ogv|mini|1|[[auf]] und [[ab]] ''hüpfen'' mit [[mechanisch]]er [[Unterstützung]]",,
1456,622,erbitten,erbitte,,erbittest,,erbittet,erbat,,erbeten,,erbäte,,erbitte,,,erbittet,,haben,,,,,,
1457,621,spülen,spüle,,spülst,,spült,spülte,,gespült,,spülte,,spül,spüle,,spült,,haben,,,Washing dishes at LGC.jpg|mini|1|ein Arbeiter ''spült'' Geschirr,,,
1458,619,verriegeln,verriegle,verriegele,verriegelst,,verriegelt,verriegelte,,verriegelt,,verriegelte,,verriegle,verriegele,,verriegelt,,haben,,,,,,
1459,619,schiefgehen,—,,—,,geht schief,ging schief,,schiefgegangen,,ginge schief,,—,,,—,,sein,,,"Aus2.jpg|thumb|1|„Oh, oh, hoffentlich ''geht'' das nicht ''schief!''“",Biplane crash in South Texas.jpg|thumb|1|diese [[Landung]] ''ging schief'',,
1460,618,wandeln,wandle,wandele,wandelst,,wandelt,wandelte,,gewandelt,,wandelte,,wandle,wandele,,wandelt,,sein,haben,,,,,
1461,618,verfallen,verfalle,,verfällst,,verfällt,verfiel,,verfallen,,verfiele,,verfall,,,verfallt,,sein,,,,,,
1462,617,rippen,rippe,,rippst,,rippt,rippte,,gerippt,,rippte,,ripp,rippe,,rippt,,haben,,,,,,
1463,616,suspendieren,suspendiere,,suspendierst,,suspendiert,suspendierte,,suspendiert,,suspendierte,,suspendiere,suspendier,,suspendiert,,haben,,,,,,
1464,616,vorziehen,ziehe vor,,ziehst vor,,zieht vor,zog vor,,vorgezogen,,zöge vor,,zieh vor,,,zieht vor,,haben,,,,,,
1465,616,erlösen,erlöse,,erlöst,,erlöst,erlöste,,erlöst,,erlöste,,erlös,erlöse,,erlöst,,haben,,,,,,
1466,616,erhängen,erhänge,,erhängst,,erhängt,erhängte,,erhängt,,erhängte,,erhäng,erhänge,,erhängt,,haben,,,,,,
1467,616,versinken,versinke,,versinkst,,versinkt,versank,,versunken,,versänke,,versinke,versink,,versinkt,,sein,,,,,,
1468,614,widerfahren,—,,—,,widerfährt,widerfuhr,,widerfahren,,widerführe,,—,,,—,,sein,,,,,,
1469,613,spionieren,spioniere,,spionierst,,spioniert,spionierte,,spioniert,,spionierte,,spionier,spioniere,,spioniert,,haben,,,,,,
1470,612,schleifen,schleife,,schleifst,,schleift,schleifte,,geschleift,,schleifte,,schleife,,,schleift,,haben,,,,,,
1471,610,kritisieren,kritisiere,,kritisierst,,kritisiert,kritisierte,,kritisiert,,kritisierte,,kritisiere,kritisier,,kritisiert,,haben,,,,,,
1472,610,qualifizieren,qualifiziere,,qualifizierst,,qualifiziert,qualifizierte,,qualifiziert,,qualifizierte,,qualifiziere,qualifizier,,qualifiziert,,haben,,,,,,
1473,608,kneifen,kneife,,kneifst,,kneift,kniff,,gekniffen,,kniffe,,kneife,kneif,,kneift,,haben,,,,,,
1474,607,wimmeln,wimmle,wimmele,wimmelst,,wimmelt,wimmelte,,gewimmelt,,wimmelte,,wimmel,wimmle,,wimmelt,,haben,,,,,,
1475,607,pumpen,pumpe,,pumpst,,pumpt,pumpte,,gepumpt,,pumpte,,pump,pumpe,,pumpt,,haben,,,,,,
1476,605,protestieren,protestiere,,protestierst,,protestiert,protestierte,,protestiert,,protestierte,,protestiere,protestier,,protestiert,,haben,,,,,,
1477,605,beitragen,trage bei,,trägst bei,,trägt bei,trug bei,,beigetragen,,trüge bei,,trag bei,trage bei,,tragt bei,,haben,,,,,,
1478,603,aufdecken,decke auf,,deckst auf,,deckt auf,deckte auf,,aufgedeckt,,deckte auf,,deck auf,decke auf,,deckt auf,,haben,,,,,,
1479,602,erniedrigen,erniedrige,,erniedrigst,,erniedrigt,erniedrigte,,erniedrigt,,erniedrigte,,erniedrige,,,erniedrigt,,haben,,,,,,
1480,601,punkten,punkte,,punktest,,punktet,punktete,,gepunktet,,punktete,,punkt,punkte,,punktet,,haben,,,,,,
1481,600,abdrücken,drücke ab,,drückst ab,,drückt ab,drückte ab,,abgedrückt,,drückte ab,,drück ab,drücke ab,,drückt ab,,haben,,,,,,
1482,600,bezeugen,bezeuge,,bezeugst,,bezeugt,bezeugte,,bezeugt,,bezeugte,,bezeug,bezeuge,,bezeugt,,haben,,,,,,
1483,598,zaubern,zaubere,,zauberst,,zaubert,zauberte,,gezaubert,,zauberte,,zauber,zaubere,,zaubert,,haben,,"Makmagic1@gmail.comrr.jpg|thumb|2|Hier wird ''gezaubert,'' dass eine [[Person]] in der [[Luft]] [[schweben|schwebt]]",,,,
1484,597,ringen,ringe,,ringst,,ringt,rang,,gerungen,,ränge,,ring,,,ringt,,haben,,,,,,
1485,595,rasten,raste,,rastest,,rastet,rastete,,gerastet,,rastete,,rast,raste,,rastet,,haben,,,,,,
1486,594,eintragen,trage ein,,trägst ein,,trägt ein,trug ein,,eingetragen,,trüge ein,,trage ein,,,tragt ein,,haben,,,,,,
1487,594,verschlüsseln,verschlüssle,verschlüssele,verschlüsselst,,verschlüsselt,verschlüsselte,,verschlüsselt,,verschlüsselte,,verschlüssle,verschlüssele,,verschlüsselt,,haben,,,,,,
1488,594,perlen,perle,,perlst,,perlt,perlte,,geperlt,,perlte,,perl,perle,,perlt,,haben,sein,Sektglas-mit-Inhalt.jpg|mini|3|ein ''perlendes'' Sektglas,,,,
1489,593,erwerben,erwerbe,,erwirbst,,erwirbt,erwarb,,erworben,,erwürbe,,erwirb,,,erwerbt,erwerbet,haben,,,,,,
1490,593,tanken,tanke,,tankst,,tankt,tankte,,getankt,,tankte,,tank,,,tankt,,haben,,,,,,
1491,592,ausnehmen,nehme aus,,nimmst aus,,nimmt aus,nahm aus,,ausgenommen,,nähme aus,,nimm aus,,,nehmt aus,,haben,,,,,,
1492,591,improvisieren,improvisiere,,improvisierst,,improvisiert,improvisierte,,improvisiert,,improvisierte,,improvisiere,improvisier,,improvisiert,,haben,,,,,,
1493,591,untertauchen,tauche unter,,tauchst unter,,taucht unter,tauchte unter,,untergetaucht,,tauchte unter,,tauch unter,tauche unter,,taucht unter,,haben,sein,,,,,
1494,591,abwenden,wende ab,,wendest ab,,wendet ab,wendete ab,wandte ab,abgewendet,abgewandt,wendete ab,,wende ab,,,wendet ab,,haben,,,,,,
1495,590,schneien,schneie,,schneist,,schneit,schneite,,geschneit,,schneite,,schnei,schneie,,schneit,,haben,sein,,,,,
1496,590,durchdringen,durchdringe,,durchdringst,,durchdringt,durchdrang,,durchdrungen,,durchdränge,,durchdring,durchdringe,,durchdringt,,haben,,,,,,
1497,589,bedrücken,bedrücke,,bedrückst,,bedrückt,bedrückte,,bedrückt,,bedrückte,,bedrück,bedrücke,,bedrückt,,haben,,,,,,
1498,588,ernten,ernte,,erntest,,erntet,erntete,,geerntet,,erntete,,ernt,ernte,,erntet,,haben,,,,,,
1499,588,klarmachen,mache klar,,machst klar,,macht klar,machte klar,,klargemacht,,machte klar,,mach klar,mache klar,,macht klar,,haben,,,,,,
1500,587,killen,kille,,killst,,killt,killte,,gekillt,,killte,,kille,,,killt,,haben,,,,,,
1501,587,verlängern,verlängere,,verlängerst,,verlängert,verlängerte,,verlängert,,verlängerte,,verlängere,,,verlängert,,haben,,,,,,
1502,585,schimpfen,schimpfe,,schimpfst,,schimpft,schimpfte,,geschimpft,,schimpfte,,schimpf,,,schimpft,,haben,,,,,,
1503,585,durchsetzen,setze durch,,setzt durch,,setzt durch,setzte durch,,durchgesetzt,,setzte durch,,setze durch,,,setzt durch,,haben,,,,,,
1504,585,stabilisieren,stabilisiere,,stabilisierst,,stabilisiert,stabilisierte,,stabilisiert,,stabilisierte,,stabilisier,stabilisiere,,stabilisiert,,haben,,,,,,
1505,585,entzünden,entzünde,,entzündest,,entzündet,entzündete,,entzündet,,entzündete,,entzünd,entzünde,,entzündet,,haben,,Candle and Match.ogg|mini|1|ein [[Streichholz]] wird an einer [[Kerze]] ''entzündet'',,,,
1506,585,konfrontieren,konfrontiere,,konfrontierst,,konfrontiert,konfrontierte,,konfrontiert,,konfrontierte,,konfrontiere,konfrontier,,konfrontiert,,haben,,,,,,
1507,584,auskommen,komme aus,,kommst aus,,kommt aus,kam aus,,ausgekommen,,käme aus,,komme aus,,,kommt aus,,sein,,,,,,
1508,584,übermitteln,übermittle,,übermittelst,,übermittelt,übermittelte,,übermittelt,,übermittelte,,übermittle,,,übermittelt,,haben,,,,,,
1509,584,austricksen,trickse aus,,trickst aus,,trickst aus,trickste aus,,ausgetrickst,,trickste aus,,tricks aus,trickse aus,,trickst aus,,haben,,,,,,
1510,583,ausbreiten,breite aus,,breitest aus,,breitet aus,breitete aus,,ausgebreitet,,breitete aus,,breite aus,,,breitet aus,,haben,,,,,,
1511,583,ohrfeigen,ohrfeige,,ohrfeigst,,ohrfeigt,ohrfeigte,,geohrfeigt,,ohrfeigte,,ohrfeige,,,ohrfeigt,,haben,,,,,,
1512,583,windeln,windle,windele,windelst,,windelt,windelte,,gewindelt,,windelte,,windle,windele,,windelt,,haben,,,,,,
1513,583,bestreiten,bestreite,,bestreitest,,bestreitet,bestritt,,bestritten,,bestritte,,bestreite,,,bestreitet,,haben,,,,,,
1514,582,pflücken,pflücke,,pflückst,,pflückt,pflückte,,gepflückt,,pflückte,,pflücke,pflück,,pflückt,,haben,,,Teapickers-near-kericho.JPG|thumb|1|[[Teepflücker]] ''pflücken'' [[Teeblatt|Teeblätter]] auf einer [[Plantage]] in [[Kenia]].,Picking Cherries.jpg|thumb|1|[[Kirsche]]n ''pflücken'' [[hoch]] [[oben]] im [[Baum]],,
1515,582,verführen,verführe,,verführst,,verführt,verführte,,verführt,,verführte,,verführe,,,verführt,,haben,,,,,,
1516,579,losen,lose,,lost,,lost,loste,,gelost,,loste,,lose,,,lost,,haben,,The British Army in North-west Europe 1944-45 BU1536.jpg|thumb|1|[[Soldat]]en der [[britisch]]en [[Armee]] ''losen'' im Januar 1945 um ihren [[Heimaturlaub]],,,,
1517,579,zerren,zerre,,zerrst,,zerrt,zerrte,,gezerrt,,zerrte,,zerr,zerre,,zerrt,,haben,,,,,,
1518,578,wahrnehmen,nehme wahr,,nimmst wahr,,nimmt wahr,nahm wahr,,wahrgenommen,,nähme wahr,,nimm wahr,,,nehmt wahr,,haben,,"Bokeh a Milano.jpg|thumb|1|Wenn man eine [[Brille]] [[brauchen|braucht]] und keine [[haben|hat]], kann man [[nichts]] mehr [[scharf]] ''wahrnehmen.''",,,,
1519,578,züchten,züchte,,züchtest,,züchtet,züchtete,,gezüchtet,,züchtete,,züchte,,,züchtet,,haben,,,,,,
1520,578,abschlachten,schlachte ab,,schlachtest ab,,schlachtet ab,schlachtete ab,,abgeschlachtet,,schlachtete ab,,schlachte ab,,,schlachtet ab,,haben,,,,,,
1521,577,anstoßen,stoße an,stoß an,stößt an,,stößt an,stieß an,,angestoßen,,stieße an,,stoße an,stoß an,,stoßt an,,haben,sein,,,,,
1522,575,auferstehen,auferstehe,erstehe auf,auferstehst,erstehst auf,aufersteht,auferstand,erstand auf,auferstanden,,auferstünde,erstünde auf,aufersteh,auferstehe,,aufersteht,ersteht auf,sein,,,,,,
1523,575,mitteln,mittle,mittel,mittelst,,mittelt,mittelte,,gemittelt,,mittelte,,mittle,mittel,,mittelt,,haben,,,,,,
1524,574,auffahren,fahre auf,,fährst auf,,fährt auf,fuhr auf,,aufgefahren,,führe auf,,fahr auf,fahre auf,,fahrt auf,,sein,,,,,,
1525,574,aufwärmen,wärme auf,,wärmst auf,,wärmt auf,wärmte auf,,aufgewärmt,,wärmte auf,,wärme auf,,,wärmt auf,,haben,,,,,,
1526,573,hocken,hocke,,hockst,,hockt,hockte,,gehockt,,hockte,,hock,hocke,,hockt,,haben,sein,,,,,
1527,573,steigern,steigere,,steigerst,,steigert,steigerte,,gesteigert,,steigerte,,steiger,steigere,,steigert,,haben,,,,,,
1528,573,absuchen,suche ab,,suchst ab,,sucht ab,suchte ab,,abgesucht,,suchte ab,,such ab,suche ab,,sucht ab,,haben,,,,,,
1529,572,gebühren,gebühre,,gebührst,,gebührt,gebührte,,gebührt,,gebührte,,gebühre,,,gebührt,,haben,,,,,,
1530,571,würdigen,würdige,,würdigst,,würdigt,würdigte,,gewürdigt,,würdigte,,würdig,würdige,,würdigt,,haben,,Hans Bethe and Swedish King.jpg|thumb|1|Das Nobelpreiskommitee ''würdigt'' die [[wissenschaftlich]]en [[Leistung]]en von [[w:Hans Bethe|Hans Bethe]],,,,
1531,570,scannen,scanne,,scannst,,scannt,scannte,,gescannt,,scannte,,scanne,scann,,scannt,,haben,,,,,,
1532,568,verjagen,verjage,,verjagst,,verjagt,verjagte,,verjagt,,verjagte,,verjag,verjage,,verjagt,,haben,,,,,,
1533,567,abbiegen,biege ab,,biegst ab,,biegt ab,bog ab,,abgebogen,,böge ab,,bieg ab,biege ab,,biegt ab,,haben,sein,,,,,
1534,567,verbrauchen,verbrauche,,verbrauchst,,verbraucht,verbrauchte,,verbraucht,,verbrauchte,,verbrauche,,,verbraucht,,haben,,,,,,
1535,567,hinziehen,ziehe hin,,ziehst hin,,zieht hin,zog hin,,hingezogen,,zöge hin,,ziehe hin,zieh hin,,zieht hin,,sein,,,,,,
